Temperature, Pressure, Relative Pressure, Approx altitude, Relative altitude, Calculated Height, Relative Calculated Height, 
20.43,100370.92,-10021.48,77.66,-9.14,794.38,25150.47,    
20.54,100371.02,-10022.34,77.65,-9.08,794.44,25044.05,    
20.59,100368.8,-10031.12,77.84,-8.26,795.11,25044.72,    
20.64,100366.24,-10032.85,78.06,-8.12,795.26,25044.8,    
20.67,100371.02,-10033.25,77.65,-8.09,795.26,25044.78,    
20.69,100363.85,-10038.78,78.26,-7.62,795.73,25045.25,    
20.72,100368.42,-10030.83,77.87,-8.29,795.09,25044.57,    
20.73,100364.13,-10037.87,78.23,-7.7,795.65,25045.19,    
20.75,100367.46,-10033.48,77.95,-8.07,795.3,25044.78,    
20.75,100367.77,-10035.53,78.16,-7.65,795.45,25044.97,    
20.77,100367.35,-10034.28,77.96,-8.03,795.36,25044.86,    
20.78,100369.92,-10034.89,77.75,-7.95,795.39,25044.9,    
20.79,100364.63,-10038.83,78.19,-7.62,795.72,25045.23,    
20.8,100364.54,-10035.15,78.2,-7.95,795.45,25044.92,    
20.81,100367.79,-10035.5,77.92,-7.9,795.45,25044.95,    
20.8,100363.39,-10038.36,78.29,-7.66,795.7,25045.2,    
20.81,100364.85,-10036.11,78.17,-7.85,795.52,25045,    
20.82,100369.34,-10034.21,77.79,-8.01,795.34,25044.83,    
20.82,100366.45,-10039.34,78.04,-7.59,795.75,25045.26,    
20.83,100369.96,-10033.81,77.74,-8.04,795.31,25044.78,    
20.85,100369.55,-10034.87,77.78,-7.93,795.39,25044.91,    
20.84,100367.28,-10038.54,77.97,-7.65,795.68,25045.19,    
20.84,100365.8,-10036.43,78.09,-7.82,795.53,25045.01,    
20.85,100366.28,-10036.08,78.05,-7.85,795.5,25045,    
20.86,100368.47,-10034.58,77.87,-7.98,795.37,25044.87,    
20.87,100368.95,-10036.04,77.83,-7.85,795.48,25044.99,    
20.86,100368.47,-10037.77,77.87,-7.7,795.62,25045.11,    
20.86,100364.07,-10038.69,78.24,-7.63,795.72,25045.2,    
20.86,100365.22,-10036.97,78.06,-7.86,795.58,25045.05,    
20.86,100364.39,-10035.2,78.21,-7.91,795.45,25044.94,    
20.85,100361.35,-10038.27,78.59,-7.53,795.7,25045.21,    
