Temperature, Pressure,Cal altitude, Approx altitude
19.01,102013.03,44330,-57.13
19.01,102013.03,44330,-56.18
19.07,102011.28,    nan,-55.92
19.14,102010.47,    nan,-56.14
19.21,102011.46,    nan,-56.35
19.27,102007.27,    nan,-56.65
19.36,102015.91,38270.76,-56.99
19.37,102012.97,    nan,-56.7
19.4,102013.54,39960.85,-56.95
19.43,102012.49,    nan,-57.08
19.47,102015.5,38443.13,-57.07
19.48,102014.03,39374.89,-57.15
19.5,102012.85,    nan,-57.11
19.51,102012.16,    nan,-57.05
19.52,102016.72,37978.05,-57.34
19.54,102017.99,37612.46,-57.44
19.54,102015.53,38429.08,-57.34
19.54,102016.67,37993.44,-57.23
19.56,102016.63,38008.99,-57.37
19.58,102014.47,39015.7,-57.25
19.57,102010.24,    nan,-57
19.58,102016.56,38032.62,-57.19
19.58,102013.78,39629.22,-57.22
19.58,102012.96,    nan,-57.12
19.6,102013.94,39458.77,-57.17
19.6,102013.61,39853.43,-57.05
19.61,102015.21,38584.23,-57.31
19.61,102014.23,39197.7,-57.24
19.61,102014.39,39071.51,-57.18
19.62,102016.18,38165.53,-57.39
19.62,102013.89,39507.25,-57.25
19.62,102014.55,38962.28,-57.08
19.63,102014.5,38994.06,-57.25
19.63,102014.35,39106.26,-57.25
19.63,102014.51,38988.71,-57.06
19.64,102013.85,39549.3,-57.4
19.64,102017.11,37855.61,-57.37
19.64,102015.97,38246.01,-57.5
19.64,102017.45,37757.68,-57.35
19.64,102014.35,39106.26,-57.26
19.64,102015.49,38450.2,-57.43
19.65,102018.22,37553.28,-57.33
19.66,102018.22,37553.28,-57.52
19.65,102016.1,38197.78,-57.04
19.65,102012.83,    nan,-57.15
19.66,102014.46,39021.17,-57.25
19.66,102015.6,38398,-57.4
19.66,102016.25,38139.67,-57.35
19.67,102016.22,38151.1,-57.39
19.66,102015.77,38328.06,-57.3
19.66,102015.89,38277.01,-57.27
19.66,102013.45,40124.3,-57.16
19.67,102016.55,38035.27,-57.31
19.67,102015.24,38568.67,-57.25
19.67,102015.73,38344.4,-57.35
19.67,102015.57,38415.18,-57.09
19.68,102013.44,40139.21,-57.09
19.68,102011,    nan,-56.96
19.68,102013.92,39474.7,-57.17
19.68,102014.38,39082.99,-57.2
19.69,102014.71,38861.77,-57.43
19.69,102015.2,38588.15,-57.31
19.7,102018.13,37576.69,-57.52
19.69,102016.17,38168.43,-57.18
19.69,102015.69,38360.93,-57.35
19.7,102015.32,38526.78,-57.33
19.7,102014.71,38861.77,-57.35
19.7,102013.72,39705.47,-57.18
19.7,102016.66,37998.6,-57.21
19.7,102014.83,38786.68,-57.41
19.71,102016.46,38067.44,-57.41
19.71,102015.81,38311.91,-57.62
19.71,102018.91,37391.36,-57.43
19.7,102013.85,39557.9,-57.19
19.71,102017.44,37759.89,-57.32
19.71,102016.13,38185.97,-57.52
19.71,102014.83,38786.68,-57.27
19.72,102016.13,38185.97,-57.26
19.71,102013.85,39557.9,-57.19
19.71,102015.64,38381.03,-57.35
19.72,102017.92,37628.62,-57.61
19.71,102018.1,37584.57,-57.52
19.72,102016.13,38185.97,-57.38
19.72,102016.46,38067.44,-57.4
19.72,102017.07,37867.42,-57.47
19.71,102015.16,38607.91,-57.3
19.72,102017.24,37818.44,-57.34
19.72,102014.82,38791.25,-57.33
19.72,102016.1,38197.78,-57.38
19.72,102016.75,37970.42,-57.45
19.72,102016.13,38185.97,-57.34
19.72,102015.32,38530.53,-57.32
19.72,102014.3,39142.01,-57.4
19.71,102014.66,38891.1,-57.15
19.73,102015.6,38401.42,-57.56
19.72,102016.1,38197.78,-57.23
19.73,102015.11,38632.03,-57.42
19.74,102018.17,37564.94,-57.68
19.72,102016.1,38197.78,-57.42
19.73,102018.21,37557.16,-57.54
19.74,102019.64,37234.53,-57.49
19.73,102017.72,37682.33,-57.56
19.74,102019.82,37199.87,-57.61
19.73,102017.24,37818.44,-57.42
19.73,102015.76,38331.31,-57.44
19.74,102019.15,37337.97,-57.62
19.74,102018.99,37373.94,-57.62
19.73,102019.19,37329.51,-57.37
19.74,102017.52,37737.95,-57.62
19.74,102018.99,37373.94,-57.51
19.75,102020.13,37138.65,-57.74
19.74,102019.64,37234.53,-57.62
19.74,102018.99,37373.94,-57.33
19.73,102015.44,38471.65,-57.27
19.74,102017.19,37832.27,-57.44
19.73,102015.27,38553.28,-57.3
19.74,102018.33,37526.4,-57.56
19.75,102018.33,37526.4,-57.72
19.75,102020.94,36989.1,-57.62
19.74,102018.5,37485.06,-57.58
19.74,102017.19,37832.27,-57.41
19.75,102017.19,37832.27,-57.27
19.74,102016.54,38037.93,-57.42
19.75,102015.39,38493.43,-57.36
19.74,102015.07,38656.58,-57.5
19.75,102017.52,37737.95,-57.5
19.76,102018.62,37457.46,-57.49
19.75,102015.72,38347.69,-57.38
19.75,102016.21,38156.86,-57.39
19.75,102016.86,37932.82,-57.27
19.75,102013.92,39474.7,-57.2
19.74,102014.42,39054.5,-57.24
19.75,102015.56,38418.65,-57.36
19.75,102015.88,38283.29,-57.27
19.75,102017.19,37832.27,-57.47
19.75,102019.47,37269.92,-57.63
19.75,102019.14,37339.66,-57.36
19.75,102015.07,38656.58,-57.3
19.76,102016.5,38051.27,-57.42
19.76,102016.5,38051.27,-57.46
19.75,102017.19,37832.27,-57.47
19.75,102017.51,37740.13,-57.43
19.76,102017.48,37748.88,-57.43
19.75,102017.19,37832.27,-57.47
19.76,102015.85,38295.94,-57.51
19.75,102016.05,38215.68,-57.39
19.76,102017.8,37661.46,-57.74
19.77,102022.03,36806.31,-57.77
19.76,102018.3,37534.04,-57.47
19.75,102016.37,38097.57,-57.43
19.76,102017.32,37795.66,-57.42
19.77,102017.32,37795.66,-57.66
19.77,102019.43,37278.07,-57.58
19.77,102017.8,37661.46,-57.84
19.78,102022.5,36734.63,-57.58
19.77,102016.82,37947.74,-57.4
19.78,102018.41,37507.48,-57.79
19.78,102021.03,36974.02,-57.51
19.77,102016.82,37947.74,-57.7
19.78,102018.74,37430.34,-57.51
19.78,102018.41,37507.48,-57.73
19.78,102020.37,37092.68,-57.65
19.78,102020.04,37155.26,-57.54
19.78,102017.27,37809.28,-57.53
19.78,102018.74,37430.34,-57.6
19.78,102017.27,37809.28,-57.45
19.78,102016.94,37908.26,-57.44
19.79,102018.41,37507.48,-57.58
19.78,102016.94,37908.26,-57.45
19.78,102017.43,37762.1,-57.59
19.78,102018.57,37468.45,-57.75
19.78,102019.88,37187.45,-57.7
19.78,102018.58,37466.61,-57.56
19.79,102019.88,37187.45,-57.61
19.77,102015.67,38367.6,-57.35
19.79,102017.75,37673.95,-57.64
19.77,102016.82,37947.74,-57.43
19.78,102014.17,39242.86,-57.22
19.78,102018.57,37468.45,-57.65
19.78,102019.39,37286.26,-57.37
19.78,102017.43,37762.1,-57.49
19.79,102017.75,37673.95,-57.54
19.79,102018.89,37394.87,-57.7
19.78,102018.09,37586.54,-57.55
19.79,102020.36,37094.14,-57.79
19.79,102021.02,36975.39,-57.54
19.79,102018.57,37470.28,-57.59
19.8,102020.99,36980.86,-57.72
19.8,102020.16,37132.65,-57.83
19.8,102022.78,36692.27,-57.93
19.79,102019.88,37187.45,-57.52
