Temperature, Pressure, Relative Pressure, Approx altitude, Relative altitude, Calculated Height, Relative Calculated Height, 
20.04,100385.8,3119.57,76.41,-265.05,-266.7,24062.35,    
20.16,100389.92,-10022.59,76.07,-9.03,794.32,25150.03,    
20.26,100389.6,-10027.55,76.09,-8.62,794.69,25044.3,    
20.32,100391.42,-10031.12,75.94,-8.25,794.94,25044.52,    
20.36,100386.17,-10039.71,76.38,-7.55,795.63,25045.18,    
20.4,100392.82,-10033.27,75.83,-8.09,795.09,25044.58,    
20.42,100389.25,-10039.75,76.12,-7.55,795.61,25045.14,    
20.43,100391.99,-10036.98,75.89,-7.78,795.38,25044.87,    
20.45,100388.8,-10037.03,75.94,-7.99,795.41,25044.91,    
20.48,100390.96,-10035.95,75.98,-7.84,795.31,25044.81,    
20.48,100392.07,-10037.73,75.88,-7.71,795.44,25044.95,    
20.48,100392.36,-10038.55,75.86,-7.64,795.49,25045,    
20.49,100393.99,-10038.09,75.73,-7.68,795.45,25044.95,    
20.49,100391.7,-10039.39,75.92,-7.57,795.56,25045.06,    
20.51,100391.12,-10038.11,75.97,-7.71,795.47,25044.96,    
20.51,100392.1,-10039.98,75.89,-7.53,795.6,25045.1,    
20.51,100392.92,-10039.14,75.81,-7.59,795.53,25045.02,    
20.52,100392.2,-10037.43,75.88,-7.74,795.41,25044.91,    
20.52,100394.16,-10038.38,75.71,-7.64,795.47,25044.97,    
20.51,100392.25,-10039.55,75.87,-7.56,795.57,25045.07,    
20.51,100392.74,-10038.25,75.83,-7.67,795.47,25044.96,    
20.51,100392.75,-10038.14,75.83,-7.68,795.46,25044.96,    
20.52,100394.31,-10036.8,75.7,-7.79,795.35,25044.85,    
20.51,100391.1,-10041.45,75.97,-7.4,795.72,25045.23,    
20.51,100394.21,-10038.12,75.71,-7.68,795.45,25044.92,    
20.51,100389.47,-10041.63,76.11,-7.41,795.75,25045.25,    
20.52,100393.16,-10036.02,75.8,-7.84,795.3,25044.77,    
20.52,100392.35,-10040.72,75.86,-7.46,795.66,25045.17,    
20.52,100389.75,-10040.49,76.08,-7.48,795.66,25045.14,    
20.51,100392.08,-10038.57,75.86,-7.63,795.5,25044.98,    
20.52,100390.88,-10038.29,75.99,-7.67,795.49,25044.98,    
20.51,100391.92,-10040.75,75.93,-7.41,795.66,25045.16,    
20.52,100393.49,-10036.84,75.77,-7.79,795.36,25044.84,    
20.52,100392.2,-10040.85,75.88,-7.47,795.67,25045.18,    
20.52,100393.33,-10039.97,75.78,-7.55,795.59,25045.07,    
20.52,100396.1,-10037.77,75.55,-7.7,795.41,25044.9,    
20.51,100391.28,-10043.76,75.95,-7.21,795.89,25045.4,    
20.51,100393.88,-10036.77,75.74,-7.77,795.35,25044.81,    
20.51,100389.49,-10040.93,76.11,-7.44,795.69,25045.21,    
20.51,100392.74,-10038.06,75.83,-7.68,795.45,25044.93,    
20.51,100392.27,-10041.52,75.87,-7.41,795.72,25045.22,    
20.51,100394.22,-10039.32,75.71,-7.58,795.54,25045.01,    
20.5,100393.75,-10037.85,75.75,-7.69,795.43,25044.92,    
20.5,100392.28,-10038.88,75.87,-7.61,795.52,25045.02,    
20.48,100393.02,-10039.96,75.81,-7.53,795.59,25045.09,    
20.48,100393.35,-10038.73,75.78,-7.63,795.5,25044.99,    
20.47,100390.66,-10042.55,76.01,-7.26,795.81,25045.3,    
20.48,100394.72,-10036.89,75.66,-7.79,795.35,25044.82,    
20.48,100392.11,-10040.3,75.88,-7.5,795.63,25045.14,    
20.47,100394.25,-10039.2,75.7,-7.59,795.53,25045.01,    
