Acceleration, Temperature, Pressure,  Relative Pressure, Approx altitude, Relative altitude, Calculated Height, Relative Calculated Height, 
422,22.04,100370.91,3430.65,78.54,-291.02,-293.89,24035.16,    
422,22.23,100373.24,-10011.62,77.47,-10.04,793.62,25152.06,    
422,22.33,100373.96,-10020.48,77.41,-9.16,794.28,25043.96,    
421,22.39,100375.27,-10030.03,77.3,-8.37,794.98,25044.6,    
423,22.43,100377.82,-10031.36,77.15,-8.18,795.06,25044.61,    
421,22.43,100374.02,-10037.16,77.36,-7.81,795.53,25045.07,    
419,22.46,100377.13,-10033.02,77.14,-8.1,795.19,25044.69,    
425,22.47,100376.92,-10036.85,77.16,-7.79,795.48,25045.01,    
417,22.49,100375.49,-10034.62,77.28,-7.98,795.33,25044.82,    
420,22.5,100377.22,-10035.51,77.11,-7.91,795.38,25044.89,    
424,22.5,100376.86,-10036.54,77.14,-7.83,795.46,25044.97,    
442,22.51,100377.34,-10036.54,77.12,-7.81,795.46,25044.96,    
404,22.51,100376.19,-10034.4,77.22,-7.95,795.3,25044.8,    
420,22.51,100377.17,-10036.99,77.14,-7.78,795.49,25045.01,    
418,22.5,100374.1,-10040.37,77.38,-7.5,795.77,25045.26,    
418,22.51,100378.82,-10034.84,77.25,-7.69,795.32,25044.79,    
428,22.5,100378.83,-10037.62,77,-7.73,795.53,25045.04,    
448,22.5,100376.24,-10039.53,77.22,-7.58,795.69,25045.18,    
412,22.5,100372.96,-10035.51,77.49,-7.9,795.41,25044.89,    
416,22.51,100373.07,-10036.63,77.28,-8.01,795.49,25045,    
415,22.51,100374,-10036.65,77.66,-7.52,795.49,25044.99,    
429,22.52,100377.1,-10035.28,77.14,-7.93,795.36,25044.86,    
436,22.5,100375.91,-10039.55,77.24,-7.55,795.69,25045.2,    
415,22.48,100377.14,-10036.21,77.14,-7.84,795.43,25044.91,    
417,22.48,100374.39,-10039.49,77.33,-7.6,795.7,25045.2,    
418,22.48,100375.19,-10037.23,77.1,-7.96,795.52,25045,    
432,22.46,100377.6,-10039.49,77.1,-7.55,795.68,25045.17,    
441,22.44,100375.42,-10040.81,77.28,-7.43,795.79,25045.27,    
418,22.45,100376.88,-10036.98,77.16,-7.75,795.49,25044.96,    
413,22.43,100376.17,-10039.85,77.47,-7.29,795.71,25045.21,    
416,22.43,100375.66,-10037.42,77.22,-7.81,795.54,25045.01,    
430,22.44,100374.96,-10040.2,77.32,-7.5,795.75,25045.24,    
431,22.42,100374.25,-10040.58,77.38,-7.48,795.78,25045.25,    
419,22.43,100378.96,-10032.87,76.99,-8.12,795.17,25044.64,    
414,22.42,100376.22,-10038.51,77.22,-7.62,795.61,25045.14,    
422,22.41,100374.31,-10038.68,77.54,-7.47,795.64,25045.12,    
433,22.42,100375.89,-10033.76,77.24,-8.06,795.26,25044.74,    
424,22.4,100375.33,-10038.53,77.29,-7.64,795.62,25045.14,    
424,22.39,100375.89,-10039.19,77.24,-7.59,795.67,25045.15,    
413,22.38,100375.46,-10038.36,77.19,-7.74,795.61,25045.09,    
420,22.35,100375.5,-10042.37,77.46,-7.14,795.91,25045.39,    
440,22.33,100376.42,-10041.99,77.2,-7.4,795.87,25045.33,    
414,22.29,100371.91,-10044.53,77.58,-7.13,796.1,25045.55,    
414,22.29,100373.85,-10036.45,77.39,-7.85,795.48,25044.91,    
414,22.29,100375,-10037.8,77.37,-7.66,795.57,25045.07,    
425,22.29,100373.52,-10036.92,77.39,-7.83,795.51,25045,    
449,22.29,100375,-10036.34,77.32,-7.82,795.46,25044.95,    
404,22.28,100374.88,-10038.62,77.33,-7.64,795.63,25045.13,    
420,22.28,100374.11,-10038.54,77.26,-7.78,795.63,25045.11,    
415,22.27,100374.3,-10037.98,77.43,-7.62,795.59,25045.07,    
428,22.27,100374.48,-10038.11,77.39,-7.66,795.59,25045.08,    
447,22.26,100374.72,-10038.7,77.34,-7.63,795.64,25045.13,    
400,22.25,100372.28,-10039.28,77.55,-7.58,795.7,25045.18,    
417,22.25,100373.6,-10038.17,77.27,-7.84,795.61,25045.08,    
414,22.26,100373.41,-10037.55,77.19,-7.97,795.56,25045.05,    
429,22.24,100373.96,-10038.83,77.41,-7.6,795.65,25045.14,    
446,22.23,100372.57,-10040.42,77.52,-7.5,795.78,25045.26,    
408,22.23,100373.38,-10039.33,77.46,-7.58,795.69,25045.16,    
419,22.23,100371.77,-10038.23,77.41,-7.85,795.63,25045.1,    
410,22.23,100375.21,-10035.62,77.63,-7.54,795.4,25044.89,    
431,22.22,100372.33,-10038.51,77.54,-7.68,795.64,25045.15,    
444,22.21,100373.03,-10037.93,77.48,-7.7,795.59,25045.07,    
419,22.2,100372.75,-10039.64,77.51,-7.53,795.72,25045.21,    
415,22.2,100376.06,-10038.32,77.34,-7.56,795.6,25045.07,    
418,22.2,100377.86,-10035.12,77.12,-7.86,795.35,25044.83,    
426,22.2,100377.02,-10036.66,77.15,-7.81,795.47,25044.98,    
433,22.18,100375.5,-10037.76,77.28,-7.71,795.56,25045.06,    
409,22.17,100375.54,-10037.59,77.27,-7.74,795.55,25045.04,    
422,22.16,100374.8,-10039.52,77.31,-7.6,795.7,25045.19,    
423,22.17,100376.05,-10036.47,77.32,-7.73,795.46,25044.94,    
424,22.15,100370.77,-10042.4,77.67,-7.35,795.95,25045.45,    
422,22.17,100375.89,-10033.16,77.24,-8.1,795.21,25044.66,    
417,22.15,100377.62,-10038.11,77.1,-7.69,795.57,25045.1,    
426,22.16,100375.31,-10037.74,77.21,-7.81,795.56,25045.05,    
422,22.15,100375.51,-10039.43,77.37,-7.47,795.69,25045.17,    
423,22.14,100377.88,-10037.95,77.08,-7.69,795.56,25045.03,    
421,22.14,100375.42,-10036.29,77.28,-7.83,795.45,25044.94,    
422,22.13,100373.86,-10037.93,77.42,-7.69,795.59,25045.09,    
419,22.13,100374.85,-10037.86,77.29,-7.75,795.57,25045.06,    
423,22.13,100376.26,-10036.72,77.37,-7.64,795.48,25044.97,    
425,22.13,100374.51,-10038.13,77.36,-7.69,795.6,25045.09,    
423,22.13,100374.19,-10036.95,77.39,-7.77,795.51,25045,    
424,22.13,100374.51,-10036.6,77.36,-7.81,795.48,25044.98,    
420,22.13,100375.83,-10036.46,77.21,-7.86,795.46,25044.96,    
419,22.11,100377.36,-10038.02,77.24,-7.56,795.56,25045.07,    
416,22.1,100377.78,-10036.68,77.09,-7.82,795.46,25044.95,    
418,22.08,100375.94,-10040.52,77.24,-7.46,795.76,25045.26,    
426,22.08,100375.91,-10037.28,77.24,-7.73,795.52,25044.99,    
441,22.08,100378.07,-10038.4,77.04,-7.68,795.59,25045.08,    
412,22.07,100376.78,-10038.7,77.23,-7.57,795.62,25045.11,    
414,22.07,100374.32,-10035.73,77.38,-7.89,795.42,25044.9,    
410,22.04,100371.24,-10042.37,77.64,-7.28,795.94,25045.44,    
414,22.04,100376.47,-10034.45,77.2,-8.01,795.31,25044.76,    
446,22.03,100374.42,-10038.95,77.26,-7.72,795.66,25045.17,    
428,22.03,100374.28,-10039.71,77.2,-7.71,795.72,25045.2,    
401,22.01,100373.07,-10039.54,77.48,-7.55,795.71,25045.19,    
412,21.99,100370.89,-10040.09,77.66,-7.51,795.77,25045.25,    
436,21.99,100374.98,-10036.79,77.32,-7.78,795.49,25044.96,    
418,21.97,100373.64,-10041.3,77.37,-7.48,795.84,25045.34,    
397,21.95,100373.92,-10039.53,77.59,-7.38,795.7,25045.17,    
413,21.93,100371.56,-10040.15,77.61,-7.53,795.77,25045.24,    
454,21.91,100372.49,-10040.94,77.53,-7.45,795.82,25045.29,    
437,21.9,100375.37,-10038.78,77.21,-7.71,795.64,25045.1,    
407,21.89,100370.66,-10040.12,77.57,-7.63,795.77,25045.25,    
413,21.88,100373.3,-10039.25,77.43,-7.62,795.69,25045.16,    
425,21.87,100373.54,-10039.67,77.44,-7.55,795.72,25045.2,    
413,21.85,100371.71,-10043.17,77.6,-7.26,796,25045.47,    
418,21.86,100374.78,-10035.43,77.46,-7.78,795.39,25044.84,    
423,21.85,100373.82,-10039.02,77.21,-7.84,795.67,25045.17,    
419,21.86,100372.8,-10037.74,77.41,-7.81,795.58,25045.06,    
424,21.86,100371.67,-10041.31,77.6,-7.43,795.86,25045.34,    
432,21.85,100373.99,-10040,77.4,-7.52,795.74,25045.2,    
410,21.85,100377.58,-10036.75,77.21,-7.69,795.47,25044.94,    
430,21.85,100375.95,-10039.39,77.1,-7.72,795.68,25045.18,    
418,21.84,100374.08,-10042.36,77.29,-7.43,795.92,25045.4,    
418,21.83,100373.13,-10038.58,77.48,-7.63,795.64,25045.09,    
423,21.82,100373.37,-10040.27,77.46,-7.5,795.77,25045.25,    
449,21.83,100374.94,-10036.31,77.25,-7.9,795.46,25044.93,    
403,21.83,100374.11,-10037.09,77.37,-7.79,795.52,25045.02,    
418,21.82,100375.99,-10037.49,77.18,-7.79,795.54,25045.03,    
415,21.81,100372.75,-10039.34,77.51,-7.57,795.7,25045.19,    
419,21.79,100373.32,-10039.84,77.46,-7.54,795.73,25045.21,    
453,21.79,100375.66,-10037.52,77.18,-7.81,795.54,25045.01,    
421,21.78,100379.11,-10037.04,77.08,-7.65,795.48,25044.97,    
402,21.77,100375.22,-10041.7,77.38,-7.31,795.86,25045.35,    
412,21.77,100376.37,-10035.9,77.2,-7.87,795.41,25044.87,    
442,21.75,100376.97,-10042.53,77.15,-7.31,795.91,25045.41,    
431,21.73,100377.1,-10041.3,77.01,-7.57,795.81,25045.27,    
412,21.72,100381.1,-10038.68,76.99,-7.44,795.59,25045.05,    
408,21.71,100372.83,-10040.12,77.5,-7.53,795.76,25045.25,    
439,21.7,100374.17,-10037.34,77.39,-7.75,795.54,25045.01,    
427,21.7,100373.04,-10039.29,77.48,-7.58,795.69,25045.19,    
408,21.7,100377.11,-10036.31,77.31,-7.66,795.44,25044.92,    
417,21.69,100375.22,-10038.53,77.14,-7.83,795.62,25045.12,    
421,21.69,100377.84,-10035.8,77.08,-7.86,795.4,25044.88,    
446,21.7,100376.14,-10035.27,77.22,-7.92,795.37,25044.88,    
423,21.69,100376.53,-10039.05,77.19,-7.6,795.65,25045.16,    
414,21.69,100376.03,-10037.77,77.23,-7.71,795.56,25045.04,    
419,21.7,100375.17,-10037.22,77.15,-7.91,795.52,25045.01,    
425,21.69,100372.76,-10039.58,77.51,-7.56,795.72,25045.21,    
416,21.68,100372.5,-10039.67,77.53,-7.55,795.73,25045.2,    
422,21.67,100374.85,-10036.42,77.33,-7.83,795.47,25044.94,    
426,21.68,100374.3,-10036.12,77.31,-7.92,795.45,25044.94,    
423,21.68,100375.77,-10036.94,77.24,-7.78,795.5,25045,    
418,21.67,100376.32,-10037.96,77.21,-7.69,795.57,25045.07,    
432,21.68,100376.75,-10034.83,77.17,-7.93,795.33,25044.82,    
419,21.66,100375.21,-10039.82,77.3,-7.54,795.72,25045.23,    
422,21.65,100373.48,-10038.57,77.56,-7.55,795.64,25045.11,    
427,21.66,100374.74,-10036.1,77.2,-7.99,795.44,25044.92,    
425,21.65,100373.97,-10038.24,77.41,-7.66,795.61,25045.11,    
421,21.65,100375.61,-10035.77,77.27,-7.86,795.41,25044.9,    
420,21.64,100374.83,-10037.69,77.33,-7.72,795.56,25045.07,    
419,21.65,100373.34,-10036.89,77.46,-7.78,795.51,25045,    
437,21.65,100374.64,-10037.44,77.43,-7.66,795.54,25045.04,    
421,21.65,100375.61,-10035.1,77.27,-7.93,795.36,25044.85,    
424,21.63,100374.41,-10040.39,77.37,-7.49,795.77,25045.28,    
423,21.63,100374.74,-10035.97,77.34,-7.86,795.43,25044.9,    
417,21.63,100376.21,-10037.52,77.15,-7.8,795.54,25045.04,    
421,21.63,100377.36,-10037.12,77.05,-7.82,795.5,25044.99,    
422,21.63,100377.21,-10038.12,77.13,-7.67,795.58,25045.07,    
427,21.62,100373.52,-10039.95,77.44,-7.53,795.74,25045.23,    
427,21.62,100376.91,-10033.58,77.16,-8.06,795.24,25044.71,    
416,21.62,100375.6,-10036.47,77.24,-7.85,795.46,25044.99,    
419,21.63,100374.75,-10037.65,77.31,-7.74,795.56,25045.06,    
421,21.62,100374.46,-10038.27,77.37,-7.66,795.61,25045.1,    
419,21.62,100373.52,-10037.59,77.44,-7.71,795.56,25045.05,    
419,21.62,100377.61,-10033.69,77.1,-8.08,795.24,25044.73,    
